,l_measure,l_precision,l_recall,track_id
170,0.4242169783067683,0.36575646228526065,0.5049207551005324,SALAMI_308
171,0.3301510175973216,0.2760575328374704,0.4106100792945786,SALAMI_31
172,0.37934005711579,0.31665884573655595,0.47296048304366106,SALAMI_310
173,0.49058354899375867,0.40865744302590246,0.6135947060588959,SALAMI_311
174,0.48321799061934545,0.462457338741061,0.5059302290919175,SALAMI_312
175,0.635177024291217,0.5528057071277799,0.7463941658075626,SALAMI_315
176,0.40457427677871394,0.3449887947213515,0.4890398461684069,SALAMI_318
177,0.4423685866309691,0.3814406812277212,0.526460683522547,SALAMI_32
178,0.5000103689271396,0.40662710340517566,0.6490718839462053,SALAMI_320
179,0.3625965640684646,0.333770715805112,0.3968721156490113,SALAMI_322
180,0.3551707986224265,0.2942183804991998,0.44797696203473725,SALAMI_323
181,0.5165545526759907,0.47195645417982296,0.5704609535044814,SALAMI_326
182,0.8699684009096167,0.7961830093657379,0.9588266107213597,SALAMI_327
183,0.577916141149961,0.4795117280290487,0.7271378865175939,SALAMI_330
184,0.671506626759214,0.5775918112478322,0.8018920317353996,SALAMI_331
